,word,speaker,utt_num,word_num,frameTime,pcm_loudness_sma,mfcc_sma[0],mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,pcm_loudness_sma_de,mfcc_sma_de[0],mfcc_sma_de[1],mfcc_sma_de[2],mfcc_sma_de[3],mfcc_sma_de[4],mfcc_sma_de[5],mfcc_sma_de[6],mfcc_sma_de[7],mfcc_sma_de[8],mfcc_sma_de[9],mfcc_sma_de[10],mfcc_sma_de[11],mfcc_sma_de[12],mfcc_sma_de[13],mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,okay,1,0,0,15.196666666666667,0.08908873666666667,-45.97721833333333,-13.1192565,-16.582483333333332,-2.6817524833333337,-14.601790999999999,-4.029189833333333,-11.476230833333332,-16.682605,6.633088166666666,5.130066666666667,-18.063555000000004,-14.570963933333333,-11.175275666666666,-10.500262333333334,-5.476642878333334,-7.015016666666668,-5.7913921666666655,-5.116899166666666,-4.539332666666667,-4.1082105,-4.235000833333333,-3.5284035,-4.518009333333333,0.44557701666666666,0.6639782833333333,0.9488703833333333,1.088288183333333,1.438048,1.6044844999999999,1.9216913333333334,2.6027859999999996,281.32096666666666,0.7672850166666666,128.82623333333333,0.09323740000000001,0.0,0.1813177,0.011808331166666667,2.648744366666667,4.1332615,1.3902086999999999,-2.8567684,-3.920668733333334,-2.5454838,-2.516868783333333,-1.5910367666666667,0.7874333333333333,1.4826904333333333,0.8991712500000002,-3.948550166666666,-3.354295833333334,0.9124457499999999,1.9403806333333335,0.8268036166666667,1.0484086766666667,0.8844694116666666,0.4880961466666667,0.23073945366666668,0.007784510000000001,0.03983956,0.07615568833333335,-0.02298087,-0.038927443833333325,-0.032062656833333335,-0.031970622166666664,-0.011868159999999997,-0.00024125943333333367,0.013348181666666669,0.001826088,-13.189513683333333,0.020914988166666666,0.06548397666666667,0.0,0.0,-5.379226833333333e-05
1,this,1,1,1,15.615454545454543,0.2762704718181818,-31.9837309090909,-8.348790436363636,-6.67511029090909,5.982020999999998,-11.920745454545454,-21.799497909090906,-27.36236468181818,-30.85439818181818,1.6547563427272727,-1.5142485545454547,-16.022754636363636,-6.501489454545453,-0.3868988536363638,-15.99683090909091,-15.539665363636363,-3.347189,-2.253011574545455,-4.001231818181818,-3.5475268181818183,-2.398794909090909,-2.451205,-1.8763692727272725,-2.983469454545454,0.30854601818181815,0.4826587363636364,0.9392493000000002,1.0974494545454545,1.3789812727272728,1.5642407272727274,1.9032329090909093,2.566478727272727,237.01925454545454,0.7760417000000001,228.78441818181818,0.061644649090909096,0.06309395272727272,0.15292486090909088,0.018008598363636365,0.4889892363636365,0.21850676363636357,1.0358198909090908,-0.6289773172727272,0.40211849090909074,-1.717199118181818,-0.7903969000000001,-2.0626511940909094,0.5501325636363636,-0.017841948181818248,0.9292315781818182,0.10446187909090918,1.4555644236363638,-0.6353414782727274,-0.19790008181818172,0.13844411454545458,0.24996197272727272,0.03320889090909093,0.04228953545454545,0.04650410654545455,0.010419529727272725,0.009515539909090908,0.021707774927272723,-0.007125228345454545,-0.02015033681818182,0.0007709114545454547,-0.006434685636363637,-0.0010093371,0.0004785050636363633,0.020970270818181813,0.002795887272727274,3.1341911545454546,-0.02656081836363636,0.006233759227272729,-2.9253531818181814e-05,-2.2732135454545457e-05,-0.00010321013054545456
2,is,1,1,2,15.789000000000001,0.23548465,-31.737099,-15.6158603,-2.185368,-0.30921563999999996,5.801351650000001,-16.9415153,-11.918420450000003,-49.31391899999999,-1.1177949299999996,-12.5930942,-18.032519999999998,-18.520371,-7.096407550999999,-17.8579748,-13.923272,-3.2267780999999998,-3.8127480000000005,-4.9212335,-3.1076544,-2.5377459,-2.51621,-1.8011240999999998,-2.8198625,0.26671249,0.55203024,0.9351387500000001,1.0600397,1.4103932000000001,1.5783012,1.8668602999999997,2.4789965,257.99129,0.6941296300000002,155.36195,0.0165921927,0.012442083900000001,0.05946495099999999,-0.007382701899999999,-0.49238891,-0.8580469399999998,0.438716518,0.015458670000000164,0.38189444,-0.14825035199999997,1.0308455,0.13033651000000002,0.7687941800000001,-0.04857322999999998,-0.3737558,-1.281718268,-0.38654105,-0.24507380999999992,-0.013740521999999955,-0.12642972599999994,-0.195071287,-0.136689111,-0.11143183699999999,-0.08820357799999999,-0.028821565600000005,-0.0204758775,-0.0029661981000000024,-0.0008091584999999985,0.008529876799999997,0.0022727576,0.0043462368,0.007106232299999999,0.002424801804,0.0011512569999999993,-0.0039605904,-0.66593154,-0.018584291899999987,-0.0045379687,-1.94027313e-05,-1.22895864e-05,-2.78189349e-05
3,the,1,1,3,15.941999999999998,0.203060845,-34.75324199999999,-19.7242276,-4.704914140000001,-0.5386715599999998,3.7602900999999997,-10.5467811,-5.505140499999999,-35.080583000000004,-2.3066591,-11.787698299999999,-17.725282999999997,-14.2025766,-3.6013431500000004,-10.350723999999998,-9.0067231,-4.677420199999999,-5.1074996,-5.2551527,-3.6789864000000003,-2.997932,-2.6755326,-1.9934219999999996,-2.6831207,0.32529237,0.64821089,0.9496143,1.1130152,1.4231063,1.5814288,1.7828578,2.5094754,241.30020000000005,0.62153405,96.69675,0.05796428499999999,0.07362337,0.05024183,0.007045710299999999,0.15639878000000007,-1.1476709100000002,1.345005518,-0.9532757140000001,1.197865851,-1.3652806600000003,0.8668840299999999,-0.2768965999999998,0.4155757999999999,0.14751567000000004,-0.4497907699999999,-0.7350636299999999,-1.826644238,0.06826863600000004,1.3818390600000001,-0.011430800000000019,-0.06779286999999998,-0.0781441431,-0.049286654359999994,-0.053476125,0.008251880100000001,0.027101373999999994,0.10711103529999999,-0.007531540099999999,0.011244635999999999,0.00032665756999999994,0.010217146800000002,0.0003590905599999999,-0.0007307183000000001,0.019125408999999996,-0.0036088434999999993,0.040904890000000006,-0.07638847220000002,0.009223597830000001,-1.0130700000000001e-05,-1.099443e-05,5.014788499999999e-06
4,second,1,1,4,16.066,0.19811442,-36.62822,-27.420375999999997,-6.59260388,-6.6568325999999995,3.3623161999999995,-11.9829436,3.788360800000001,-27.741462000000002,5.820185199999999,-6.789892979999999,-18.091677999999998,-15.094236,-9.009550800000001,-7.6116062,1.5375368000000003,-6.3840058,-6.218223,-5.511138,-3.9765411999999998,-3.3351993999999996,-2.6475492,-1.8064053999999998,-2.4205853999999998,0.40457403999999997,0.75306768,0.96412316,1.1749304,1.4542722000000001,1.5866506,1.9479734,2.539321,246.00936000000002,0.21743648000000002,0.0,0.0,0.0,0.0,-0.00895108988,-0.60028678,-1.0254593781999999,-1.4873826599999997,-1.2277995,-0.79707576,0.4934799400000001,1.7799046,1.5658409000000002,1.845277,2.0895476,1.5775394,0.6634208800000001,0.7685567999999998,0.82379514,1.650025564,-0.48932645399999997,-0.15813806059999996,-0.0044372959999999986,-0.004131616000000002,-0.049789692399999995,-0.0037211970000000003,-0.004920472000000005,-0.054658674,0.035586782,0.013504690199999997,0.0009998367999999997,0.0038718491600000004,0.00792023506,0.00034251700000000003,0.028446258999999995,0.004418612000000002,-1.9777567999999999,-0.055133025200000005,0.0,0.0,0.0,0.0
5,mission,1,1,5,16.615000000000002,0.11747254999999998,-40.014685,-19.19037,-15.927775,5.2163795,-8.2988345,0.28755900000000034,-5.7696295,-18.891704999999998,-4.4095208999999995,-6.731819,-20.94102,-9.414262,-3.3921815000000004,-4.9902685,-5.832934999999999,-6.3857355,-6.3835055,-5.412144,-4.204785,-3.4473789999999997,-2.8564670000000003,-2.101649,-3.23636,0.4180005,0.7100968999999999,0.9399684500000001,1.14325,1.405132,1.5769465,1.7496809999999998,2.2552399999999997,206.7305,0.6735404999999999,0.0,0.0,0.0,0.0,0.00835789527,0.3635706,0.6164241,0.4382341500000001,0.4417877499999999,-0.21206400000000003,-0.7469178500000001,-0.6468429000000001,0.761007,0.4764155000000001,1.1272548999999998,0.81517315,-1.46743015,-0.008853999999999973,0.95518393,-0.4183359,0.08410115000000001,0.20726954999999997,0.08508653,0.047459315,0.0352822905,0.038089175,-0.029300565,0.030545074999999998,0.002290375,-0.0028336900000000007,0.0021099729999999994,-0.0030511999999999996,0.004312115000000001,-5.008000000000009e-05,-0.018150662499999998,0.0182438,-9.0957795,0.016594242,0.0,0.0,0.0,0.0
6,and,1,2,6,16.98,0.1265415,-38.02487,-18.820435,-20.4818,-0.05559549999999991,-15.167569499999999,-4.5809421,-6.31953,-13.584624999999999,6.174447,2.0691775,-22.340519999999998,-15.452955,-4.9650315,-0.06289999999999996,-3.05041945,-6.742393,-5.394122,-4.4569535,-3.6071615,-2.936909,-2.519734,-1.90462,-3.037214,0.41826359999999996,0.6711588500000001,0.94974735,1.118103,1.4339819999999999,1.584847,1.7891244999999998,2.4889580000000002,178.5611,0.6956771000000002,100.4627,0.0411168,0.0,0.33385454999999997,-0.0008257790000000004,0.546796555,0.13792799999999994,-1.5813290000000002,-1.2719652499999998,-1.0045605,0.937081,0.9363945,1.8242414999999998,2.6839925,1.4653749999999999,1.04353227,-1.75329045,-0.6008138000000001,-0.59788995,-1.37642325,-0.16773171,0.15168995000000002,0.22484042,0.20604100000000003,0.16228935,0.0779658395,0.0367225995,0.072517205,0.021160682,0.00839014,0.00504746295,-0.0056107785,0.011259454,0.0102552165,0.023128215,0.039041565,0.19529800000000008,0.007607956,-0.02475608,0.0,0.0,-0.00012888709999999998
7,i,1,2,7,17.155,0.16434564999999998,-31.3427,-7.9356747,-20.48193,-3.6108629500000005,-12.7803645,-1.338578,-1.8961174999999997,-16.911105,-5.5616795,-9.4453675,-29.732765,-8.802771,3.4285834999999993,-3.9197454,-11.391023,-4.4878089999999995,-3.896536,-2.5287365,-2.1560695,-1.9833764999999999,-2.168038,-1.8272110000000001,-3.2024915000000003,0.39911720000000006,0.6296472,0.87067655,1.079854,1.4039009999999998,1.6186289999999999,1.9324534999999998,2.445578,186.0916,0.7811887,101.83825,0.004630113,0.004372178,0.03298825,-0.0424681685,-0.0170979,0.32710150000000004,0.693382865,1.5928713,0.9816635800000001,0.7099175,1.2004099999999998,1.5742242,0.81930345,-1.3840009999999998,1.239558525,1.48110155,0.041503999999999985,-2.2590602,-0.32368665,0.043892404999999995,-0.07104706499999999,-0.128037605,-0.08831454999999999,0.016914090000000003,0.040031195,0.0063112114999999995,-0.013793060499999999,-0.00948217,0.008543835999999999,-0.0030767620499999996,0.0006709000000000003,-0.024422758,-0.0167200915,-0.0361914865,-0.06278738,-0.8432813499999999,0.007504569499999999,-0.020557224500000002,0.000164614843,-1.052568e-06,-0.000206593635
8,am,1,2,8,17.36,0.154513355,-33.829905,-9.339914700000001,-15.13383,3.9587425499999993,-2.804865500000001,4.515026000000001,2.0216745,-10.171838999999999,-5.800984000000001,-14.6129675,-32.27279,-11.520311000000001,-3.3036045000000005,-11.882417,-17.160525,-3.8918885000000003,-5.022561,-3.470061,-2.865687,-2.4157765,-2.524282,-2.1783545,-3.313336,0.32107035,0.65965135,0.8806211,1.1082945,1.3688820000000002,1.5922230000000002,1.8948814999999999,2.4727965000000003,203.3635,0.79353365,205.17545,0.038663067999999995,0.027815473,0.09484524999999999,-0.064771415,-0.51931325,-0.9520915,-0.866632,-0.2601159999999998,-0.5938659199999999,-3.448096,-1.1880579999999998,2.230988,1.373685,-1.7064514499999999,2.267195525,2.976496,-0.02118500000000001,-1.69495255,0.78432495,-0.38055491500000005,-0.0202300646,-0.14358612999999998,-0.18198730999999999,0.030600214999999997,0.038704765,-0.04454820000000001,-0.0271145805,0.015240405000000002,0.004291115999999999,0.00774667645,0.0114334545,-0.028284735,-0.0196525925,-0.02369772,-0.03347534,0.42832639499999997,-0.010282145500000001,0.00040831129999999995,9.214988e-06,-2.4427524999999998e-06,1.9687845000000006e-06
9,going,1,2,9,17.689999999999998,0.154183635,-36.706725,-12.222762000000001,-8.87781275,10.015865999999999,1.6796844499999999,4.1675015,-0.7897917250000001,-14.2458115,-5.520733999999999,-9.701183,-26.82033,-12.576355,-10.634823999999998,-14.240395,-13.61315,-4.0345565,-5.4328685,-4.926709499999999,-3.916048,-3.1711840000000002,-2.8348405000000003,-2.316313,-3.3403215,0.26436695,0.5785681,0.91511305,1.0951119999999999,1.347516,1.5300824999999998,1.7308050000000001,2.406516,204.3117,0.74132095,204.36095,0.0604231,0.028687671,0.142779,0.021827745,-0.70453915,-1.3812622499999998,-2.059729,-0.8892805,0.2081789999999999,0.5929835000000002,1.3350315,0.9427457,-0.4489602499999999,-0.5258939,2.6908923,1.98998405,0.8786656500000001,0.8327377,0.16499599999999992,-0.5110055,-0.3153030205,-0.046219440000000014,0.005202584999999996,-0.015020915000000003,0.011210870000000001,-0.03006525,-0.024732089999999998,0.037869336999999996,0.026977099999999997,0.015608185,0.018562962000000002,0.022038402999999998,0.006995807,0.054604605,0.050964535000000005,0.016605380000000003,-0.017163275,-0.00029644189999999997,8.089145e-06,2.8622235e-06,3.2286515000000004e-05
10,to,1,2,10,17.955,0.29834985,-35.761120000000005,-9.7275915,-3.7029807,17.170355,1.5431145,4.9457485,-5.4619089999999995,-24.421570000000003,-11.257207,-9.4835675,-22.999585,-10.3949345,-6.5154795,-8.914894,-10.4263245,-3.2129035,-4.8865175,-5.342954000000001,-4.0045775,-3.4047235,-2.7981175,-2.0626175,-3.2097145,0.18783445000000001,0.5425078999999999,0.92153315,1.0887854999999997,1.3962535000000003,1.5631255,1.7554265,2.4153065,204.08105,0.76385405,205.96445,0.03679145,0.0158928,0.20048130000000003,-0.006525574999999999,-1.48113,-2.866873,-3.279832,-1.4332224500000001,0.1905594,3.2769585,5.011956,3.314107,-0.22650280000000006,0.39208547499999996,0.970967355,-1.455886,-1.42975365,-0.4165664,-1.536556,-0.7424142999999999,-0.8713469,-0.10669202,-0.021926115,-0.10666699000000002,0.025036405,-0.03836979,-0.013154424999999997,0.01908152,0.073992865,0.00945270875,0.01489273,0.0242639635,0.009461206,0.020026290000000002,0.009349264999999995,0.411611915,-0.056053665,0.00044077818,2.172512e-05,1.077864e-05,-3.0989595000000005e-05
11,talk,1,2,11,18.200000000000003,0.14967360000000002,-36.956925,-16.43375,-15.310310000000001,1.2122580000000003,-7.9763255,0.5156229999999998,-8.8211825,-22.599635,-9.0676185,-2.5711075,-13.056054,-9.216089,-10.44134,-9.4678655,-7.068388000000001,-5.69651,-5.229663,-4.9590315,-3.3496895,-3.1878589999999996,-2.7919419999999997,-2.1251555,-2.9562619999999997,0.3831239,0.6890567999999999,0.9141495,1.0959495,1.3833305,1.55742,1.7316815,2.2824785,203.82815,0.7683806499999999,207.05425,0.030135315,0.0143657,0.21186111,-0.020318752,0.8736634999999999,1.5510605,0.8616029999999997,-0.7882004999999999,-1.5465459999999998,-1.3151860000000002,-0.5338674999999999,-1.7363635000000004,-3.1596543500000003,-1.2454334999999999,-0.8673106655000001,1.4659019500000001,0.7830074499999999,1.05159925,-0.7459264999999999,0.4460764,0.29317115000000005,0.25123700000000004,0.07272958,-0.013185695,0.0437129705,-0.0010592050000000006,-0.0013921000000000003,0.003259675,0.004842019999999999,-0.016244774,0.0024044759999999996,0.0019846325,0.00396894815,0.03228784,0.010087955000000003,0.58084778,-0.03948614,-0.000656515,3.689132e-06,1.8327410000000001e-06,-1.5940155e-05
12,a,1,2,12,18.375,0.39078540000000006,-30.820484999999998,-8.109234999999998,-9.7602612,-5.365051,-19.229680000000002,-7.0911205,-14.784913000000001,-29.560945,-13.2730735,-9.448415,-16.385718999999998,-1.8003810000000002,1.189825,1.3290800000000003,-5.296198,-3.44867795,-2.2621886,-3.2277585,-2.6948495,-2.917267,-2.618626,-1.8780009999999998,-2.594721,0.37374134999999997,0.5150695,0.82788075,1.060224,1.3553395,1.5716465,1.7939690000000001,2.3842999999999996,203.1244,0.8242508,205.8677,0.0043191335,0.004200376,0.20213942999999998,0.076244678,1.29726085,2.8407660999999997,3.3129633999999997,1.4312441500000002,1.12819,-0.5976385000000002,-3.2082706,-3.723878,-3.0565250500000003,-2.434656,-2.4978325,1.2537490500000001,1.23965345,1.64734775,-1.26751245,0.8926825999999999,0.61315076,0.12131979500000001,0.048755218999999995,0.06908039499999999,-0.06681000449999999,-0.03104184,0.008968045000000001,-0.018283088,-0.0240198715,-0.0035276150000000013,0.0005916859999999997,0.0065890055,0.0288684575,0.080130295,0.04394747,0.534848635,0.024018309499999998,-0.00014634889999999998,-3.154505e-05,-1.8142720000000003e-05,-1.8221915e-05
13,little,1,2,13,18.486666666666668,0.5708749666666667,-29.689943333333332,-2.275145666666667,-1.2564081333333332,2.6546583333333333,-19.87835,-11.52543,-20.203153333333333,-37.28938333333333,-15.397349333333336,-12.322116666666666,-22.39522666666667,3.5392496666666666,9.617960333333333,10.503345333333334,-4.094635466666667,-1.6084565,-0.9215371,-3.2920386666666666,-3.265024333333333,-3.123526333333333,-2.7192903333333334,-1.8338583333333334,-2.805039333333333,0.24669443333333332,0.3677993666666666,0.8423496666666667,1.0463810000000002,1.4180853333333332,1.6300726666666667,1.9803683333333335,2.519385,201.94656666666666,0.8454728,201.90596666666667,0.02083405866666667,0.009816688333333332,0.09271467666666666,0.01789617333333333,-0.7937757,-0.6470094000000001,0.27082293333333335,1.459537366666667,2.374909666666667,0.6755487666666666,-0.8144590333333334,0.29140275333333326,0.029081633333333173,0.6108941666666666,0.04271510000000012,0.16111269999999997,0.7027686000000001,-0.8082923333333332,0.10749463333333335,-0.19379693666666667,-0.18802782666666665,-0.26340100333333333,-0.155464254,-0.011384465000000005,-0.08090158333333333,-0.09168621666666665,-0.06290177333333334,0.0012232950000000003,0.006116218,0.019020246666666667,0.009193651333333332,0.011962227,0.020452244,0.032785763333333336,0.00021798533333333356,0.057755523333333315,-0.003178793666666667,0.00038470759999999996,-2.3812752333333332e-05,-1.2442512966666669e-05,-1.4716952666666668e-05
14,better,1,2,14,18.8,0.3534069,-33.82896,-8.331528,-5.590176,10.561167999999999,-13.13231,-14.55888,-23.266419999999997,-31.64835,-7.6500125,3.217844,-13.186980000000002,3.3031935,5.6775995,4.6586635,1.1734933,-3.2173695,-2.6272755,-4.8194885,-3.8859414999999995,-3.102984,-2.5957425,-1.899551,-3.1184655,0.24406385000000003,0.42331535,0.9402936,1.0523639999999999,1.41428,1.5676700000000001,1.762032,2.286693,196.49505,0.8109363,196.4144,0.03660565,0.018929625000000002,0.22384330000000002,-0.03115255,-1.6634625,-2.22277,-0.73646485,-0.4847490999999999,1.362711,1.25770605,1.44904205,1.0601262999999999,1.89254,2.6845895,2.070188,1.7966015,-0.32366409999999995,-1.57715335,0.1567749,-0.68744855,-0.6161988,-0.36308704999999997,-0.18189203999999998,-0.17363535,-0.15054185,-0.09402260999999999,-0.085796855,0.007414104000000001,0.036338875,0.00786312,0.0043986918,-0.0018271205,-0.0038344681600000004,-0.042805615,-0.004984309999999999,-0.055406979999999995,-0.0089439675,-0.00017707782,-4.972147500000001e-06,5.209291050000001e-06,-7.9656645e-06
